housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,x,y
28.0,3337.0,855.0,1520.0,802.0,3.9063,225000.0,2,-197778.13030799493,-19487.05472819833
52.0,1424.0,289.0,550.0,253.0,5.0917,262500.0,2,-197777.18520029137,-19481.539975900203
32.0,3809.0,1098.0,1806.0,1022.0,2.6429,218500.0,2,-197781.00195965907,-19487.768171426374
26.0,3959.0,1196.0,1749.0,1217.0,3.0233,255000.0,2,-197780.52896769627,-19484.043692367617
52.0,2376.0,559.0,939.0,519.0,3.1484,224100.0,2,-197754.30134841977,-18370.62206626404
35.0,1613.0,428.0,675.0,422.0,3.4722,243100.0,2,-197752.9652921868,-18375.79739328008
52.0,1279.0,287.0,534.0,291.0,3.1429,231600.0,2,-197749.0226504524,-18369.538536293898
28.0,5022.0,1750.0,2558.0,1661.0,2.4234,218500.0,2,-197748.1843357943,-18375.33268351527
52.0,4190.0,1105.0,1786.0,1037.0,3.0897,234100.0,2,-197749.52185510047,-18374.728933703154
50.0,2515.0,399.0,970.0,373.0,5.8596,327600.0,2,-195969.54202021376,-17304.8669908382
47.0,3175.0,454.0,1098.0,485.0,5.2868,347600.0,2,-195965.73885026306,-17302.072388629895
41.0,2576.0,406.0,794.0,376.0,5.956,366100.0,2,-196871.89869253483,-18389.65812044358
37.0,334.0,54.0,98.0,47.0,4.9643,335000.0,2,-196815.33965308467,-16164.007614101283
52.0,2800.0,411.0,1061.0,403.0,6.3434,373600.0,2,-195943.74001515788,-16194.088786546607
52.0,3529.0,574.0,1177.0,555.0,5.1773,389500.0,2,-196841.6107497331,-17279.49665058544
52.0,2612.0,365.0,901.0,367.0,7.2354,391100.0,2,-196815.18004107557,-16168.868331580888
28.0,5287.0,1048.0,2031.0,956.0,5.457,337300.0,2,-195063.8181693681,-16212.853029070422
50.0,2935.0,473.0,1031.0,479.0,7.5,295200.0,2,-195089.11192152387,-17323.384314719122
44.0,3424.0,597.0,1358.0,597.0,6.0194,292300.0,2,-194207.7723711796,-17342.92709318595
40.0,4991.0,674.0,1616.0,654.0,7.5544,411500.0,2,-194235.37263923313,-18457.65740476409
30.0,2211.0,346.0,844.0,343.0,6.0666,311500.0,2,-193330.00593272614,-17360.466513088904
34.0,3038.0,490.0,1140.0,496.0,7.0548,325900.0,2,-194212.51744969486,-17347.379676891025
18.0,1617.0,210.0,533.0,194.0,11.6017,392600.0,2,-192455.74924100068,-17385.443585185334
35.0,2865.0,460.0,1072.0,443.0,7.4882,319300.0,2,-193333.92260437508,-17362.960553947836
34.0,5065.0,788.0,1627.0,766.0,6.8976,333300.0,2,-194231.94587544672,-18450.190689729992
28.0,1326.0,184.0,463.0,190.0,8.2049,335200.0,2,-192480.32087238244,-18499.464702763595
26.0,1589.0,223.0,542.0,211.0,8.401,351200.0,2,-193353.29768128353,-18474.428884916473
29.0,1791.0,271.0,661.0,269.0,6.8538,368900.0,2,-192475.4050842108,-18494.022460673936
32.0,1835.0,264.0,635.0,263.0,8.317,365900.0,2,-192507.948221889,-19609.450437425636
37.0,1229.0,181.0,420.0,176.0,7.0175,366700.0,2,-193379.4665344202,-19590.486546551343
39.0,3770.0,534.0,1265.0,500.0,6.3302,362800.0,2,-193380.82221377245,-19587.67490731785
30.0,292.0,38.0,126.0,52.0,6.3624,483300.0,2,-191646.89809243073,-20736.34581183782
52.0,2375.0,333.0,813.0,350.0,7.0549,331400.0,2,-194262.2267495219,-19566.660024764948
45.0,2964.0,436.0,1067.0,426.0,6.7851,323500.0,2,-193404.6528709785,-20700.550475988537
50.0,2833.0,605.0,1260.0,552.0,2.8929,216700.0,2,-194317.04385747676,-21786.590781152714
38.0,2254.0,535.0,951.0,487.0,3.0812,233100.0,2,-194311.9606423945,-21790.031347188167
52.0,1389.0,212.0,510.0,224.0,5.2402,296400.0,2,-194290.17980147473,-20675.087490135804
52.0,1971.0,335.0,765.0,308.0,6.5217,273700.0,2,-195169.28491135404,-20653.141630097758
52.0,2183.0,465.0,1129.0,460.0,3.2632,227700.0,2,-195191.92794467096,-21763.45165108284
52.0,2286.0,464.0,1073.0,441.0,3.0298,199600.0,2,-195192.69494346066,-21767.596483112313
52.0,2721.0,541.0,1185.0,515.0,4.5428,239800.0,2,-195189.4857143194,-21768.972800283693
52.0,2024.0,339.0,756.0,340.0,4.072,270100.0,2,-195163.16382238563,-20660.499742414802
52.0,2944.0,536.0,1034.0,521.0,5.3509,302100.0,2,-195168.03212560396,-20661.225254795514
52.0,2033.0,486.0,787.0,459.0,3.1603,269500.0,2,-196071.68191874,-21746.040509516373
52.0,1433.0,229.0,612.0,213.0,4.7708,314700.0,2,-196048.286233,-20635.835265015718
52.0,2927.0,402.0,1021.0,380.0,8.1564,390100.0,2,-195163.3429840834,-20661.116044982336
52.0,2315.0,292.0,861.0,258.0,8.8793,410300.0,2,-196043.66823081463,-20636.6141169006
52.0,2485.0,313.0,953.0,327.0,6.8591,352400.0,2,-196927.05087627785,-20609.061727765482
52.0,1490.0,238.0,634.0,256.0,6.0302,287300.0,2,-196926.62258217135,-20610.45572278835
52.0,2814.0,365.0,878.0,352.0,7.508,348700.0,2,-196044.4639619276,-20640.65926799923
52.0,2093.0,550.0,918.0,483.0,2.7477,243800.0,2,-196920.11224955905,-20615.326297109015
52.0,888.0,168.0,360.0,175.0,2.1944,211500.0,2,-196951.21409327962,-21725.130877932534
52.0,2087.0,510.0,1197.0,488.0,3.0149,218400.0,2,-197829.4201127734,-21709.166272195987
52.0,2513.0,502.0,1048.0,518.0,3.675,269900.0,2,-196923.96451236075,-20610.018688736018
46.0,3232.0,835.0,1373.0,747.0,3.225,218800.0,2,-197800.41449127192,-20589.159141948447
42.0,4120.0,1065.0,1715.0,1015.0,2.9345,225000.0,2,-197832.63999724505,-21710.588518878445
43.0,2364.0,792.0,1359.0,722.0,2.1429,250000.0,2,-197833.407040135,-21707.3537758803
41.0,1471.0,469.0,1062.0,413.0,1.6121,171400.0,2,-197825.6184722324,-21708.77843162231
29.0,2468.0,864.0,1335.0,773.0,1.3929,193800.0,2,-197827.23549173886,-21705.85899383435
27.0,1632.0,492.0,1171.0,429.0,2.3173,125000.0,2,-196975.37668116373,-22833.354910939932
45.0,1786.0,526.0,1475.0,460.0,1.7772,97500.0,2,-197857.56868551133,-22817.850435401313
50.0,629.0,188.0,742.0,196.0,2.6458,125000.0,2,-197854.07439947975,-22817.368021307047
52.0,1339.0,391.0,1086.0,363.0,2.181,138800.0,2,-197851.5970247614,-22817.147060229443
36.0,1678.0,606.0,1645.0,543.0,2.2303,116700.0,2,-197833.40257966478,-21700.4712223066
43.0,2344.0,647.0,1710.0,644.0,1.6504,151800.0,2,-197825.55499823223,-21709.37805526983
52.0,996.0,228.0,731.0,228.0,2.2697,127000.0,2,-196952.15558208796,-21728.624914552085
52.0,1591.0,373.0,1118.0,347.0,2.1563,128600.0,2,-196953.41189566525,-21725.97264174465
52.0,1586.0,398.0,1006.0,335.0,2.1348,140600.0,2,-196946.74115834263,-21727.53002193896
47.0,2046.0,588.0,1213.0,554.0,2.6292,182700.0,2,-196946.47544893195,-21728.932191799395
52.0,1192.0,289.0,772.0,257.0,2.3833,146900.0,2,-196073.22430983835,-21745.67175512435
52.0,1803.0,420.0,1321.0,401.0,2.957,122800.0,2,-196946.7768237135,-21722.547140222043
49.0,2838.0,749.0,1487.0,677.0,2.5238,169300.0,2,-196946.4215379851,-21730.9297337858
52.0,783.0,184.0,488.0,186.0,1.9375,126600.0,2,-196075.07117896306,-21741.94661989063
51.0,1590.0,414.0,949.0,392.0,1.9028,127900.0,2,-196072.52213320695,-21745.719088855665
50.0,1746.0,480.0,1149.0,415.0,2.25,123500.0,2,-196072.98754600302,-21749.533466435503
52.0,1252.0,299.0,844.0,280.0,2.3929,111900.0,2,-196069.83311748088,-21743.961699850857
43.0,5963.0,1344.0,4367.0,1231.0,2.1917,112800.0,2,-196093.88698630992,-22853.91717802966
52.0,1783.0,395.0,1659.0,412.0,2.9357,107900.0,2,-196096.54899203975,-22861.25564643694
30.0,999.0,264.0,1011.0,263.0,1.8854,137500.0,2,-196096.36410872423,-22853.99250443699
39.0,1469.0,431.0,1464.0,389.0,2.1638,105500.0,2,-196976.08586618424,-22840.86309701344
47.0,1372.0,395.0,1237.0,303.0,2.125,95500.0,2,-196973.42498566105,-22836.223160454072
52.0,674.0,180.0,647.0,168.0,3.375,116100.0,2,-196973.19086610657,-22834.435655985493
43.0,1626.0,376.0,1284.0,357.0,2.2542,112200.0,2,-196977.6537290096,-22841.75985611137
51.0,175.0,43.0,228.0,55.0,2.1,75000.0,2,-197860.2102738024,-22815.506342491135
39.0,461.0,129.0,381.0,123.0,1.6,112500.0,2,-197856.8635755649,-22819.85108034173
52.0,902.0,237.0,846.0,227.0,3.625,125000.0,2,-197859.3668979003,-22816.988670681138
20.0,2373.0,779.0,1659.0,676.0,1.6929,115000.0,2,-198705.98643401059,-21681.183710845187
52.0,391.0,128.0,520.0,138.0,1.6471,95000.0,2,-195267.3383377541,-25098.359079628717
52.0,1137.0,301.0,866.0,259.0,2.59,96400.0,2,-195267.6930974136,-25096.563536644913
52.0,769.0,206.0,612.0,183.0,2.57,72000.0,2,-196147.25344022375,-25079.385760629084
52.0,472.0,146.0,415.0,126.0,2.6429,71300.0,2,-196126.29833125393,-23965.102842757013
52.0,862.0,215.0,994.0,213.0,3.0257,80800.0,2,-196123.76777723004,-23967.13056704495
50.0,1920.0,530.0,1525.0,477.0,1.4886,128800.0,2,-195246.8883450719,-23988.74864316359
43.0,1420.0,472.0,1506.0,438.0,1.9338,112500.0,2,-196124.42465909658,-23973.302028845064
52.0,986.0,258.0,1008.0,255.0,1.4844,119400.0,2,-196120.68745282874,-23968.688538760412
44.0,2340.0,825.0,2813.0,751.0,1.6009,118100.0,2,-196125.6185403604,-23968.01554855099
48.0,1696.0,396.0,1481.0,343.0,2.0375,122500.0,2,-196095.0374606894,-22857.716941943392
49.0,1175.0,217.0,859.0,219.0,2.293,106300.0,2,-196098.23876937028,-22854.61817364022
37.0,2343.0,574.0,1608.0,523.0,2.1494,132500.0,2,-195216.34728902322,-22883.730397159234
30.0,610.0,145.0,425.0,140.0,1.6198,122700.0,2,-196101.31646112702,-22852.948824604508
40.0,930.0,199.0,564.0,184.0,1.3281,113300.0,2,-196098.93784790905,-22860.63206241699
44.0,1487.0,314.0,961.0,272.0,3.5156,109500.0,2,-195216.4563619818,-22883.142752335407
52.0,3424.0,690.0,2273.0,685.0,3.9048,164700.0,2,-195220.4068162769,-22876.67288447963
52.0,762.0,190.0,600.0,195.0,3.0893,125000.0,2,-194341.64370594852,-22904.192572980653
46.0,2366.0,575.0,1647.0,527.0,2.6042,124700.0,2,-195216.17702706656,-22881.04455751786
49.0,1826.0,450.0,1201.0,424.0,2.5,136700.0,2,-195219.92658297683,-22881.732709363103
38.0,3049.0,711.0,2167.0,659.0,2.7969,141700.0,2,-195216.16376348556,-22878.394541412126
29.0,1640.0,376.0,939.0,340.0,2.8321,150000.0,2,-193460.00397633156,-22918.887189760804
47.0,1543.0,307.0,859.0,292.0,2.9583,138800.0,2,-194337.50487991315,-22895.63854928501
34.0,2364.0,557.0,1517.0,516.0,2.8365,139200.0,2,-194337.31751222478,-22902.44851467805
35.0,1745.0,409.0,1143.0,386.0,2.875,143800.0,2,-194340.07612302233,-22898.57013065694
39.0,2003.0,500.0,1109.0,464.0,3.0682,156500.0,2,-194314.7231231296,-21788.5692680059
39.0,2018.0,447.0,1221.0,446.0,3.0757,151000.0,2,-194310.60814148514,-21787.57851278037
43.0,3045.0,499.0,1115.0,455.0,4.9559,273000.0,2,-193430.93331484674,-21805.200930352323
52.0,1547.0,293.0,706.0,268.0,4.7721,217100.0,2,-193432.6742330839,-21805.170824937057
52.0,3519.0,711.0,1883.0,706.0,3.4861,187100.0,2,-194311.25635353866,-21783.910722084343
41.0,2070.0,354.0,804.0,340.0,5.1184,239600.0,2,-193430.01381246882,-21808.48511510156
48.0,1321.0,263.0,506.0,252.0,4.0977,229700.0,2,-194310.1670827399,-21786.63551847078
48.0,1694.0,259.0,610.0,238.0,4.744,257300.0,2,-192553.4968827687,-21830.240109465085
46.0,1938.0,341.0,768.0,332.0,4.2727,246900.0,2,-192555.07023222558,-21831.5153151094
50.0,968.0,195.0,462.0,184.0,2.9844,179900.0,2,-192578.75483243607,-22936.995906881988
40.0,1060.0,256.0,667.0,235.0,4.1739,169600.0,2,-193458.3594783512,-22918.038702287246
46.0,2041.0,405.0,1059.0,399.0,3.8487,203300.0,2,-193436.00117178287,-21803.326797196176
52.0,1813.0,271.0,637.0,277.0,4.0114,263400.0,2,-192557.97604375903,-21831.54596498888
45.0,2718.0,451.0,1106.0,454.0,4.6563,231800.0,2,-192578.17979836607,-22944.191247992218
28.0,3144.0,761.0,1737.0,669.0,2.9297,140500.0,2,-192580.66299034277,-22941.860494521447
35.0,1802.0,459.0,1009.0,390.0,2.3036,126000.0,2,-193455.92853109652,-22916.41703098826
49.0,882.0,195.0,737.0,210.0,2.6667,122000.0,2,-193464.15934724952,-22917.087368540466
44.0,1621.0,452.0,1354.0,491.0,2.619,134700.0,2,-193462.3904460254,-22914.45937002264
45.0,2115.0,533.0,1530.0,474.0,2.4167,139400.0,2,-194342.45350597257,-22900.91364047071
45.0,2021.0,528.0,1410.0,480.0,2.7788,115400.0,2,-193460.9950168794,-22922.84656578861
46.0,2239.0,508.0,1390.0,569.0,2.7352,137300.0,2,-194361.90661423875,-24006.18869342655
52.0,1477.0,300.0,1065.0,269.0,1.8472,137000.0,2,-194366.57384878877,-24015.465868846513
52.0,1056.0,224.0,792.0,245.0,2.6583,142600.0,2,-194366.9872212616,-24012.560678900685
49.0,898.0,244.0,779.0,245.0,3.0536,137500.0,2,-194364.4838708617,-24006.52390713524
44.0,2968.0,710.0,2269.0,610.0,2.3906,111700.0,2,-195245.3600054355,-23993.511832186487
43.0,1702.0,460.0,1227.0,407.0,1.7188,126800.0,2,-194362.56875629714,-24009.93226788612
47.0,881.0,248.0,753.0,241.0,2.625,111300.0,2,-194361.84711604804,-24014.435675519984
40.0,494.0,114.0,547.0,135.0,2.8015,114800.0,2,-195273.29686265203,-25103.27986160107
50.0,1776.0,473.0,1807.0,440.0,1.7276,102300.0,2,-195245.25159846732,-23994.989302244037
44.0,1678.0,514.0,1700.0,495.0,2.0801,131900.0,2,-195240.74055394865,-23989.809647905175
51.0,1637.0,463.0,1543.0,393.0,2.489,119100.0,2,-195242.02753727857,-23986.6887087035
52.0,1420.0,314.0,1085.0,300.0,1.7546,80600.0,2,-194420.48504098092,-26228.685089142527
52.0,591.0,173.0,353.0,137.0,4.0904,80600.0,2,-194394.93986687693,-25117.102570110932
52.0,745.0,153.0,473.0,149.0,2.6765,88800.0,2,-194391.79741028498,-25121.944228880107
49.0,2272.0,498.0,1621.0,483.0,2.4338,102400.0,2,-193513.13263509664,-25143.9601455885
46.0,1234.0,375.0,1183.0,354.0,2.3309,98700.0,2,-194390.83053962135,-25119.07248786697
43.0,1017.0,328.0,836.0,277.0,2.2604,100000.0,2,-194389.7769633699,-25126.094310510438
42.0,932.0,254.0,900.0,263.0,1.8039,92300.0,2,-192629.91173140745,-25157.94448324712
39.0,2689.0,597.0,1888.0,537.0,2.2562,94800.0,2,-193511.37710736928,-25143.437837800477
41.0,1547.0,415.0,1024.0,341.0,2.0562,102000.0,2,-193515.9901941687,-25146.90565574728
52.0,2300.0,443.0,1225.0,423.0,3.5398,158400.0,2,-193481.7076579546,-24031.46365871327
39.0,1752.0,399.0,1071.0,376.0,3.1167,121600.0,2,-193489.68579205152,-24034.112067777663
50.0,1867.0,403.0,1128.0,378.0,2.5401,129100.0,2,-193484.79654368575,-24032.095244005322
43.0,2430.0,502.0,1537.0,484.0,2.898,121400.0,2,-193511.94904251976,-25137.868033380713
44.0,1729.0,414.0,1240.0,393.0,2.3125,102800.0,2,-194361.60837136392,-24009.414992677514
52.0,1026.0,180.0,469.0,168.0,2.875,160000.0,2,-192606.95949270672,-24055.56028569443
52.0,2170.0,428.0,1086.0,425.0,3.3715,143900.0,2,-192634.90128401047,-25158.103295022156
52.0,2329.0,445.0,1144.0,417.0,3.5114,151200.0,2,-192632.94498138037,-25163.94058558531
52.0,2492.0,415.0,1109.0,375.0,4.3125,164400.0,2,-192604.53626986282,-24052.617672170047
52.0,2198.0,397.0,984.0,369.0,3.22,156500.0,2,-192606.38095621043,-24053.68558647111
33.0,142.0,31.0,575.0,47.0,3.875,225000.0,2,-191724.005999158,-24076.85795234004
49.0,1183.0,205.0,496.0,209.0,5.2328,174200.0,2,-192608.00285294847,-24052.540985319763
